repository,config,mcc
HanXHX/ansible-debian-bootstrap,config_1_1,0.47736
HanXHX/ansible-debian-bootstrap,config_1_2,0.48853
HanXHX/ansible-debian-bootstrap,config_2_0,0.65472
HanXHX/ansible-debian-bootstrap,config_2_1,0.6906
HanXHX/ansible-debian-bootstrap,config_2_2,0.73956
HanXHX/ansible-nginx,config_0_0,0.653
HanXHX/ansible-nginx,config_0_1,0.653
HanXHX/ansible-nginx,config_0_2,0.67362
HanXHX/ansible-nginx,config_1_0,0.55366
HanXHX/ansible-nginx,config_1_1,0.59174
HanXHX/ansible-nginx,config_1_2,0.58871
HanXHX/ansible-nginx,config_2_0,0.58487
HanXHX/ansible-nginx,config_2_1,0.59042
HanXHX/ansible-nginx,config_2_2,0.58904
idealista/consul_role,config_0_0,100.000
idealista/consul_role,config_0_1,0.85714
idealista/consul_role,config_0_2,0.85714
idealista/consul_role,config_1_0,0.92857
idealista/consul_role,config_1_1,0.92685
idealista/consul_role,config_1_2,0.95163
idealista/consul_role,config_2_0,100.000
idealista/consul_role,config_2_1,100.000
idealista/consul_role,config_2_2,100.000
idealista/java_role,config_0_0,100.000
idealista/java_role,config_0_1,100.000
idealista/java_role,config_0_2,100.000
idealista/java_role,config_1_0,0.87924
idealista/java_role,config_1_1,0.87924
idealista/java_role,config_1_2,0.87924
idealista/java_role,config_2_0,100.000
idealista/java_role,config_2_1,100.000
idealista/java_role,config_2_2,100.000
idealista/mysql_role,config_0_0,100.000
idealista/mysql_role,config_0_1,100.000
idealista/mysql_role,config_0_2,100.000
idealista/mysql_role,config_1_0,0.95683
idealista/mysql_role,config_1_1,0.84966
idealista/mysql_role,config_1_2,0.8705
idealista/mysql_role,config_2_0,100.000
idealista/mysql_role,config_2_1,100.000
idealista/mysql_role,config_2_2,100.000
idealista/nexus-role,config_0_0,0.1338
idealista/nexus-role,config_0_1,0.1338
idealista/nexus-role,config_0_2,0.1338
idealista/nexus-role,config_1_0,0
idealista/nexus-role,config_1_1,0
idealista/nexus-role,config_1_2,0
idealista/nexus-role,config_2_0,0.1338
idealista/nexus-role,config_2_1,0.1338
idealista/nexus-role,config_2_2,0.1338
infOpen/ansible-role-docker,config_0_0,0
infOpen/ansible-role-docker,config_0_1,0
infOpen/ansible-role-docker,config_0_2,0
infOpen/ansible-role-docker,config_1_0,-0.11806
infOpen/ansible-role-docker,config_1_1,-0.11806
infOpen/ansible-role-docker,config_1_2,-0.11806
infOpen/ansible-role-docker,config_2_0,-0.05556
infOpen/ansible-role-docker,config_2_1,0
infOpen/ansible-role-docker,config_2_2,-0.05556
infOpen/ansible-role-fail2ban,config_0_0,100.000
infOpen/ansible-role-fail2ban,config_0_1,100.000
infOpen/ansible-role-fail2ban,config_0_2,100.000
infOpen/ansible-role-fail2ban,config_1_0,100.000
infOpen/ansible-role-fail2ban,config_1_1,100.000
infOpen/ansible-role-fail2ban,config_1_2,100.000
infOpen/ansible-role-fail2ban,config_2_0,100.000
infOpen/ansible-role-fail2ban,config_2_1,100.000
infOpen/ansible-role-fail2ban,config_2_2,100.000
kibatic/ansible-traefik,config_0_0,0.34615
kibatic/ansible-traefik,config_0_1,0.38462
kibatic/ansible-traefik,config_0_2,0.34615
kibatic/ansible-traefik,config_1_0,0.46154
kibatic/ansible-traefik,config_1_1,0.42308
kibatic/ansible-traefik,config_1_2,0.46154
kibatic/ansible-traefik,config_2_0,0.53846
kibatic/ansible-traefik,config_2_1,0.53846
kibatic/ansible-traefik,config_2_2,0.5
lae/ansible-role-proxmox,config_0_0,0.62258
lae/ansible-role-proxmox,config_0_1,0.62258
lae/ansible-role-proxmox,config_0_2,0.64238
lae/ansible-role-proxmox,config_1_0,0.46802
lae/ansible-role-proxmox,config_1_1,0.46216
lae/ansible-role-proxmox,config_1_2,0.43911
lae/ansible-role-proxmox,config_2_0,0.62591
lae/ansible-role-proxmox,config_2_1,0.64872
lae/ansible-role-proxmox,config_2_2,0.64872
linux-system-roles/storage,config_0_0,0
linux-system-roles/storage,config_0_1,0
linux-system-roles/storage,config_0_2,0
linux-system-roles/storage,config_1_0,0
linux-system-roles/storage,config_1_1,0
linux-system-roles/storage,config_1_2,0
linux-system-roles/storage,config_2_0,0
linux-system-roles/storage,config_2_1,0
linux-system-roles/storage,config_2_2,0
m4rcu5nl/ansible-role-zerotier,config_0_0,100.000
m4rcu5nl/ansible-role-zerotier,config_0_1,100.000
m4rcu5nl/ansible-role-zerotier,config_0_2,100.000
m4rcu5nl/ansible-role-zerotier,config_1_0,100.000
m4rcu5nl/ansible-role-zerotier,config_1_1,100.000
m4rcu5nl/ansible-role-zerotier,config_1_2,100.000
m4rcu5nl/ansible-role-zerotier,config_2_0,100.000
m4rcu5nl/ansible-role-zerotier,config_2_1,100.000
m4rcu5nl/ansible-role-zerotier,config_2_2,100.000
mimacom/ansible-role-bamboo,config_0_0,0.82733
mimacom/ansible-role-bamboo,config_0_1,100.000
mimacom/ansible-role-bamboo,config_0_2,100.000
mimacom/ansible-role-bamboo,config_1_0,100.000
mimacom/ansible-role-bamboo,config_1_1,0.78868
mimacom/ansible-role-bamboo,config_1_2,0.78868
mimacom/ansible-role-bamboo,config_2_0,0.82733
mimacom/ansible-role-bamboo,config_2_1,0.82733
mimacom/ansible-role-bamboo,config_2_2,0.82733
mrlesmithjr/ansible-manage-lvm,config_0_0,0.1349
mrlesmithjr/ansible-manage-lvm,config_0_1,0.1349
mrlesmithjr/ansible-manage-lvm,config_0_2,0.1349
mrlesmithjr/ansible-manage-lvm,config_1_0,0.14741
mrlesmithjr/ansible-manage-lvm,config_1_1,0.1828
mrlesmithjr/ansible-manage-lvm,config_1_2,0.32049
mrlesmithjr/ansible-manage-lvm,config_2_0,0.31709
mrlesmithjr/ansible-manage-lvm,config_2_1,0.24855
mrlesmithjr/ansible-manage-lvm,config_2_2,0.30213
mrlesmithjr/ansible-netdata,config_0_0,0.75926
mrlesmithjr/ansible-netdata,config_0_1,0.75926
mrlesmithjr/ansible-netdata,config_0_2,0.59259
mrlesmithjr/ansible-netdata,config_1_0,0.44903
mrlesmithjr/ansible-netdata,config_1_1,0.40509
mrlesmithjr/ansible-netdata,config_1_2,0.3836
mrlesmithjr/ansible-netdata,config_2_0,0.72222
mrlesmithjr/ansible-netdata,config_2_1,0.75926
mrlesmithjr/ansible-netdata,config_2_2,0.75926
naftulikay/ansible-role-degoss,config_0_0,0.52778
naftulikay/ansible-role-degoss,config_0_1,0.52778
naftulikay/ansible-role-degoss,config_0_2,0.52778
naftulikay/ansible-role-degoss,config_1_0,0.47222
naftulikay/ansible-role-degoss,config_1_1,0.47222
naftulikay/ansible-role-degoss,config_1_2,0.47222
naftulikay/ansible-role-degoss,config_2_0,0.52778
naftulikay/ansible-role-degoss,config_2_1,0.52778
naftulikay/ansible-role-degoss,config_2_2,0.52778
newrelic/infrastructure-agent-ansible,config_0_0,0.95238
newrelic/infrastructure-agent-ansible,config_0_1,0.95238
newrelic/infrastructure-agent-ansible,config_0_2,0.95238
newrelic/infrastructure-agent-ansible,config_1_0,0.95238
newrelic/infrastructure-agent-ansible,config_1_1,0.95238
newrelic/infrastructure-agent-ansible,config_1_2,0.95238
newrelic/infrastructure-agent-ansible,config_2_0,0.95238
newrelic/infrastructure-agent-ansible,config_2_1,0.95238
newrelic/infrastructure-agent-ansible,config_2_2,0.95238
nusenu/ansible-relayor,config_0_0,0.85016
nusenu/ansible-relayor,config_0_1,0.85797
nusenu/ansible-relayor,config_0_2,0.85016
nusenu/ansible-relayor,config_1_0,0.70088
nusenu/ansible-relayor,config_1_1,0.70694
nusenu/ansible-relayor,config_1_2,0.72533
nusenu/ansible-relayor,config_2_0,0.91153
nusenu/ansible-relayor,config_2_1,0.89635
nusenu/ansible-relayor,config_2_2,0.90416
nwoetzel/ansible-role-eclipse,config_0_0,0.67082
nwoetzel/ansible-role-eclipse,config_0_1,0.67082
nwoetzel/ansible-role-eclipse,config_0_2,0.67082
nwoetzel/ansible-role-eclipse,config_1_0,0.13363
