repository,config,rank
lae/ansible-role-proxmox,config_2_2,0.5
linux-system-roles/storage,config_0_0,4.0
linux-system-roles/storage,config_0_1,4.0
linux-system-roles/storage,config_0_2,4.0
linux-system-roles/storage,config_1_0,4.0
linux-system-roles/storage,config_1_1,4.0
linux-system-roles/storage,config_1_2,4.0
linux-system-roles/storage,config_2_0,4.0
linux-system-roles/storage,config_2_1,4.0
linux-system-roles/storage,config_2_2,4.0
m4rcu5nl/ansible-role-zerotier,config_0_0,4.0
m4rcu5nl/ansible-role-zerotier,config_0_1,4.0
m4rcu5nl/ansible-role-zerotier,config_0_2,4.0
m4rcu5nl/ansible-role-zerotier,config_1_0,4.0
m4rcu5nl/ansible-role-zerotier,config_1_1,4.0
m4rcu5nl/ansible-role-zerotier,config_1_2,4.0
m4rcu5nl/ansible-role-zerotier,config_2_0,4.0
m4rcu5nl/ansible-role-zerotier,config_2_1,4.0
m4rcu5nl/ansible-role-zerotier,config_2_2,4.0
mimacom/ansible-role-bamboo,config_0_0,4.5
mimacom/ansible-role-bamboo,config_0_1,1.0
mimacom/ansible-role-bamboo,config_0_2,1.0
mimacom/ansible-role-bamboo,config_1_0,1.0
mimacom/ansible-role-bamboo,config_1_1,7.5
mimacom/ansible-role-bamboo,config_1_2,7.5
mimacom/ansible-role-bamboo,config_2_0,4.5
mimacom/ansible-role-bamboo,config_2_1,4.5
mimacom/ansible-role-bamboo,config_2_2,4.5
mrlesmithjr/ansible-manage-lvm,config_0_0,7.0
mrlesmithjr/ansible-manage-lvm,config_0_1,7.0
mrlesmithjr/ansible-manage-lvm,config_0_2,7.0
mrlesmithjr/ansible-manage-lvm,config_1_0,5.0
mrlesmithjr/ansible-manage-lvm,config_1_1,4.0
mrlesmithjr/ansible-manage-lvm,config_1_2,0.0
mrlesmithjr/ansible-manage-lvm,config_2_0,1.0
mrlesmithjr/ansible-manage-lvm,config_2_1,3.0
mrlesmithjr/ansible-manage-lvm,config_2_2,2.0
mrlesmithjr/ansible-netdata,config_0_0,1.5
mrlesmithjr/ansible-netdata,config_0_1,1.5
mrlesmithjr/ansible-netdata,config_0_2,5.0
mrlesmithjr/ansible-netdata,config_1_0,6.0
mrlesmithjr/ansible-netdata,config_1_1,7.0
mrlesmithjr/ansible-netdata,config_1_2,8.0
mrlesmithjr/ansible-netdata,config_2_0,4.0
mrlesmithjr/ansible-netdata,config_2_1,1.5
mrlesmithjr/ansible-netdata,config_2_2,1.5
naftulikay/ansible-role-degoss,config_0_0,2.5
naftulikay/ansible-role-degoss,config_0_1,2.5
naftulikay/ansible-role-degoss,config_0_2,2.5
naftulikay/ansible-role-degoss,config_1_0,7.0
naftulikay/ansible-role-degoss,config_1_1,7.0
naftulikay/ansible-role-degoss,config_1_2,7.0
naftulikay/ansible-role-degoss,config_2_0,2.5
naftulikay/ansible-role-degoss,config_2_1,2.5
naftulikay/ansible-role-degoss,config_2_2,2.5
newrelic/infrastructure-agent-ansible,config_0_0,4.0
newrelic/infrastructure-agent-ansible,config_0_1,4.0
newrelic/infrastructure-agent-ansible,config_0_2,4.0
newrelic/infrastructure-agent-ansible,config_1_0,4.0
newrelic/infrastructure-agent-ansible,config_1_1,4.0
newrelic/infrastructure-agent-ansible,config_1_2,4.0
newrelic/infrastructure-agent-ansible,config_2_0,4.0
newrelic/infrastructure-agent-ansible,config_2_1,4.0
newrelic/infrastructure-agent-ansible,config_2_2,4.0
nusenu/ansible-relayor,config_0_0,4.5
nusenu/ansible-relayor,config_0_1,3.0
nusenu/ansible-relayor,config_0_2,4.5
nusenu/ansible-relayor,config_1_0,8.0
nusenu/ansible-relayor,config_1_1,7.0
nusenu/ansible-relayor,config_1_2,6.0
nusenu/ansible-relayor,config_2_0,0.0
nusenu/ansible-relayor,config_2_1,2.0
nusenu/ansible-relayor,config_2_2,1.0
nwoetzel/ansible-role-eclipse,config_0_0,2.5
nwoetzel/ansible-role-eclipse,config_0_1,2.5
nwoetzel/ansible-role-eclipse,config_0_2,2.5
nwoetzel/ansible-role-eclipse,config_1_0,8.0
nwoetzel/ansible-role-eclipse,config_1_1,6.0
nwoetzel/ansible-role-eclipse,config_1_2,7.0
nwoetzel/ansible-role-eclipse,config_2_0,2.5
nwoetzel/ansible-role-eclipse,config_2_1,2.5
nwoetzel/ansible-role-eclipse,config_2_2,2.5
Oefenweb/ansible-percona-server,config_0_0,1.0
Oefenweb/ansible-percona-server,config_0_1,1.0
Oefenweb/ansible-percona-server,config_0_2,1.0
Oefenweb/ansible-percona-server,config_1_0,8.0
Oefenweb/ansible-percona-server,config_1_1,7.0
Oefenweb/ansible-percona-server,config_1_2,6.0
Oefenweb/ansible-percona-server,config_2_0,4.0
Oefenweb/ansible-percona-server,config_2_1,4.0
Oefenweb/ansible-percona-server,config_2_2,4.0
Oefenweb/ansible-postfix,config_0_0,5.5
Oefenweb/ansible-postfix,config_0_1,5.5
Oefenweb/ansible-postfix,config_0_2,5.5
Oefenweb/ansible-postfix,config_1_0,5.5
Oefenweb/ansible-postfix,config_1_1,5.5
Oefenweb/ansible-postfix,config_1_2,5.5
Oefenweb/ansible-postfix,config_2_0,1.0
Oefenweb/ansible-postfix,config_2_1,1.0
Oefenweb/ansible-postfix,config_2_2,1.0
Oefenweb/ansible-supervisor,config_0_0,5.0
Oefenweb/ansible-supervisor,config_0_1,5.0
Oefenweb/ansible-supervisor,config_0_2,5.0
Oefenweb/ansible-supervisor,config_1_0,5.0
Oefenweb/ansible-supervisor,config_1_1,0.5
Oefenweb/ansible-supervisor,config_1_2,0.5
Oefenweb/ansible-supervisor,config_2_0,5.0
